dataset,binvar,bin,model,model_auroc,comp_auroc,n,n_pos
TraitGym-complex,abs_dGC,3,GPN-MSA,0.5640070872707059,0.5213076709282936,2850,280
TraitGym-complex,abs_dGC,3,Evo2-7B,0.5126994163424123,0.5213076709282936,2850,280
TraitGym-complex,abs_dGC,3,Evo2-40B,0.5239327404113396,0.5213076709282936,2850,280
TraitGym-complex,abs_dGC,3,NT-2.5B,0.5107608393551972,0.5213076709282936,2850,280
TraitGym-complex,abs_dGC,3,Caduceus,0.51941564758199,0.5213076709282936,2850,280
TraitGym-complex,abs_dGC,3,CADD,0.6340842134519176,0.5213076709282936,2850,280
TraitGym-complex,abs_dGC,3,phyloP,0.6151653696498054,0.5213076709282936,2850,280
TraitGym-complex,mu_5mer,0,GPN-MSA,0.5816859976357088,0.5111215524555914,2850,301
TraitGym-complex,mu_5mer,0,Evo2-7B,0.5082834907572379,0.5111215524555914,2850,301
TraitGym-complex,mu_5mer,0,Evo2-40B,0.5197282759573488,0.5111215524555914,2850,301
TraitGym-complex,mu_5mer,0,NT-2.5B,0.5350192701456763,0.5111215524555914,2850,301
TraitGym-complex,mu_5mer,0,Caduceus,0.5421199636623835,0.5111215524555914,2850,301
TraitGym-complex,mu_5mer,0,CADD,0.5876527698309154,0.5111215524555914,2850,301
TraitGym-complex,mu_5mer,0,phyloP,0.5598045745253496,0.5111215524555914,2850,301
TraitGym-complex,mu_5mer,1,GPN-MSA,0.5461618189117186,0.5216743914455677,2850,265
TraitGym-complex,mu_5mer,1,Evo2-7B,0.5073960804350206,0.5216743914455677,2850,265
TraitGym-complex,mu_5mer,1,Evo2-40B,0.5132228750775519,0.5216743914455677,2850,265
TraitGym-complex,mu_5mer,1,NT-2.5B,0.5296310353636728,0.5216743914455677,2850,265
TraitGym-complex,mu_5mer,1,Caduceus,0.5252523630524433,0.5216743914455677,2850,265
TraitGym-complex,mu_5mer,1,CADD,0.6272544797635122,0.5216743914455677,2850,265
TraitGym-complex,mu_5mer,1,phyloP,0.5928987993138937,0.5216743914455677,2850,265
TraitGym-complex,mu_5mer,2,GPN-MSA,0.6114875816993464,0.5186071895424837,2850,300
TraitGym-complex,mu_5mer,2,Evo2-7B,0.5182209150326798,0.5186071895424837,2850,300
TraitGym-complex,mu_5mer,2,Evo2-40B,0.5297718954248366,0.5186071895424837,2850,300
TraitGym-complex,mu_5mer,2,NT-2.5B,0.5008457516339869,0.5186071895424837,2850,300
TraitGym-complex,mu_5mer,2,Caduceus,0.5059470588235294,0.5186071895424837,2850,300
TraitGym-complex,mu_5mer,2,CADD,0.6367725490196078,0.5186071895424837,2850,300
TraitGym-complex,mu_5mer,2,phyloP,0.6014483660130719,0.5186071895424837,2850,300
TraitGym-complex,mu_5mer,3,GPN-MSA,0.5966211123452873,0.5260504035000226,2850,274
TraitGym-complex,mu_5mer,3,Evo2-7B,0.5064236976923425,0.5260504035000226,2850,274
TraitGym-complex,mu_5mer,3,Evo2-40B,0.5148535612277282,0.5260504035000226,2850,274
TraitGym-complex,mu_5mer,3,NT-2.5B,0.5195615337534569,0.5260504035000226,2850,274
TraitGym-complex,mu_5mer,3,Caduceus,0.5169107312871197,0.5260504035000226,2850,274
TraitGym-complex,mu_5mer,3,CADD,0.612356621480709,0.5260504035000226,2850,274
TraitGym-complex,mu_5mer,3,phyloP,0.5774952396064741,0.5260504035000226,2850,274
